kind,split,idx,test_text,corpus_text
exact,within,136,thanks for the follow,@StylezArmy Thanks for the follow.
exact,within,123,thank you for everything,@justinbieber THANK YOU FOR EVERYTHING
exact,within,136,thanks for the follow,@tiffibarker thanks for the follow
exact,within,136,thanks for the follow,@debv219 Thanks for the follow!
exact,within,136,thanks for the follow,@MarieCurieDoIt4 thanks for the follow!
exact,within,136,thanks for the follow,Thanks for the follow: @GramProdigy @larryczerwonka @douglasi @Exposure4All
exact,within,136,thanks for the follow,@FitnessRelated thanks for the follow!
exact,within,136,thanks for the follow,@cwlair Thanks for the follow!
exact,within,136,thanks for the follow,@CEBTAuthors Thanks for the follow.
exact,within,136,thanks for the follow,@ShilohsShow thanks for the follow.
exact,within,136,thanks for the follow,@kay_wavy Thanks for the Follow!
exact,within,136,thanks for the follow,@SassyGinger_24 thanks for the follow!
exact,within,136,thanks for the follow,@Gray_muse thanks for the follow!
exact,within,136,thanks for the follow,@reloc_tourist Thanks for the follow!
exact,within,136,thanks for the follow,@thebadgirlcam thanks for the follow
exact,within,136,thanks for the follow,@QuarterbackGF Thanks for the follow 💜
exact,within,136,thanks for the follow,@FriedmanSoltns Thanks for the follow!
exact,within,136,thanks for the follow,@JenniferTWD21 thanks for the follow!
exact,within,136,thanks for the follow,@alissasteffa Thanks for the Follow
exact,within,136,thanks for the follow,@FrancoSimon3 thanks for the follow
exact,within,136,thanks for the follow,Thanks for the follow @WeednWisdom
exact,short,563,I don t know what to do,I don't know what to do....
exact,within,136,thanks for the follow,@mcar56 Thanks for the follow!
exact,short,416,I m about to sleep so good,I'm about to sleep so good 😴😴
exact,within,136,thanks for the follow,@FrankCArt Thanks for the follow.
exact,within,136,thanks for the follow,@cazdcreations thanks for the follow
exact,within,136,thanks for the follow,@CashGangSODMG thanks for the follow!
exact,within,136,thanks for the follow,@_JohnStuart @ConquerWorry Thanks for the follow!
exact,within,136,thanks for the follow,@ENERGY_Muenchen Thanks for the follow.
exact,within,136,thanks for the follow,@TBlackford3 thanks for the follow
exact,short,534,My back is KILLING me,my back is killing me
exact,within,123,thank you for everything,@justinbieber thank you for everything
exact,within,123,thank you for everything,@thewanted thank you for everything
exact,within,136,thanks for the follow,@dmpakhomov Thanks for the follow!
exact,within,136,thanks for the follow,@arikakane Thanks For The Follow.
exact,within,359,Best of luck,@ultimatemegax best of luck!
exact,within,359,Best of luck,@expressingwordz best of luck!
exact,within,136,thanks for the follow,@joinquanta Thanks for the follow
exact,within,136,thanks for the follow,@BooksoftheDeadM thanks for the follow
exact,within,136,thanks for the follow,@MuZicLab Thanks for the follow!
exact,within,136,thanks for the follow,@TawwShhUhh thanks for the follow
exact,within,136,thanks for the follow,@joyceotugui Thanks for the follow!
exact,within,136,thanks for the follow,Thanks @UPJobs for the follow!
exact,long,860,today is not my day,Today is not my day
exact,within,136,thanks for the follow,@adorbkarmy thanks for the follow
exact,within,136,thanks for the follow,@MedspaNirvana Thanks for the follow!
exact,within,136,thanks for the follow,Thanks for the follow @hrbythesea @lauxmyth @Etaleno2010 @PenetrationXprt
exact,within,136,thanks for the follow,@SorayaZiarati thanks for the follow
exact,within,136,thanks for the follow,@MileyCy47917173  thanks for the follow:)
exact,within,136,thanks for the follow,@TheLizzieSimon Thanks for the follow!
exact,within,136,thanks for the follow,@HayleeHounsom thanks for the follow
exact,within,136,thanks for the follow,@Cassia_Arnold thanks for the follow!
exact,within,136,thanks for the follow,@KennethSaints thanks for the follow?
exact,within,136,thanks for the follow,@lteuscher thanks for the follow
exact,within,136,thanks for the follow,@C4HadMeLike thanks for the follow
exact,within,359,Best of luck,@Leomanzano @GNCLiveWell @LibertyMile @HOKAONEONE best of luck!
exact,within,123,thank you for everything,@gaby_moreno Thank you for everything!!!
exact,within,136,thanks for the follow,@anberlin thanks for the follow!!!
exact,within,136,thanks for the follow,@exploretravel1 @365traveldates Thanks for the follow!
exact,within,136,thanks for the follow,@chichomaja thanks for the follow
exact,within,136,thanks for the follow,Thanks for the #follow @iamjasonmills !!
exact,within,136,thanks for the follow,@ejoan57 Thanks for the follow
exact,within,136,thanks for the follow,@BrwnBoxBranding #Thanks for the follow
exact,within,136,thanks for the follow,@Body_Detoxifica  Thanks for the follow
exact,within,136,thanks for the follow,@tsportsquotes Thanks for the follow!
exact,within,136,thanks for the follow,@RBumgarner_API thanks for the follow
exact,within,136,thanks for the follow,@JoShPwlllInc Thanks for the follow! #💟
exact,within,136,thanks for the follow,@raghurajsigh00 thanks for the follow!
exact,within,136,thanks for the follow,@Londoner38 thanks for the follow!
exact,within,136,thanks for the follow,@socialrobinson Thanks for the follow!
exact,within,136,thanks for the follow,@LTKent thanks for the follow!
exact,within,136,thanks for the follow,@jawnamiller1 thanks for the follow
exact,long,860,today is not my day,Today is not my day.
exact,within,136,thanks for the follow,@Christie_sc Thanks for the follow
exact,within,136,thanks for the follow,@DoctorVazquez thanks for the follow!
exact,within,123,thank you for everything,Thank you for everything.
exact,within,136,thanks for the follow,@covendom thanks for the follow
